序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1234,300131,英唐智控,5.28,-1.31,-0.07,371251.0,196293644.79,1.68,5.34,5.25,5.3,5.35,1.82,3.61,116.39,3.51,6006512609.0,5430288288.0,0.19,-0.19,-12.44,-12.15
1235,301297,富乐德,23.29,-1.31,-0.31,78655.0,183882330.0,2.37,23.68,23.12,23.66,23.6,2.08,5.68,92.6,5.62,7881103100.0,3223103100.0,-0.17,-0.09,-14.19,-13.61
1238,300779,惠城环保,40.44,-1.37,-0.56,7644.0,31110339.0,3.2,41.56,40.25,41.22,41.0,1.32,0.72,30.87,4.41,5609847719.0,4264765317.0,-0.1,-0.25,-15.4,-21.63
1240,300115,长盈精密,10.75,-1.38,-0.15,100901.0,109602113.6,2.39,11.0,10.74,10.85,10.9,1.03,0.84,151.01,2.23,12941727824.0,12899566625.0,-0.28,-0.37,-10.79,-18.87
1241,300480,光力科技,19.13,-1.39,-0.27,22492.0,43194780.26,1.55,19.39,19.09,19.26,19.4,0.82,0.91,67.74,4.54,6737315081.0,4730337961.0,-0.1,-0.16,-10.23,-10.4
1242,301071,力量钻石,35.49,-1.42,-0.51,43064.0,153877868.38,3.0,36.38,35.3,36.02,36.0,1.08,3.28,26.35,1.74,9237064388.0,4660398345.0,0.11,0.34,11.85,9.88
1249,301589,诺瓦星云,477.98,-1.46,-7.1,2908.0,140117589.0,2.6,488.6,476.0,482.82,485.08,1.34,3.78,40.39,6.71,24549052800.0,3681444978.0,-0.11,-0.4,276.69,276.69
1251,300255,常山药业,12.71,-1.47,-0.19,307455.0,386509686.25,2.95,12.79,12.41,12.69,12.9,1.32,3.36,-22.56,4.38,11681263759.0,11640388145.0,-0.63,0.0,-14.01,-2.31
1254,300276,三丰智能,4.62,-1.49,-0.07,376385.0,174613168.37,2.56,4.7,4.58,4.66,4.69,1.08,3.79,126.87,3.35,6472818614.0,4585374699.0,-0.22,-0.22,15.21,14.93
1257,300345,华民股份,8.35,-1.53,-0.13,19755.0,16607499.0,3.42,8.62,8.33,8.47,8.48,0.93,0.45,-31.23,5.4,4823637152.0,3696303652.0,-0.12,-0.12,12.99,8.44
1260,301162,国能日新,49.22,-1.56,-0.78,8571.0,42125403.74,1.7,49.6,48.75,49.4,50.0,0.77,1.42,70.7,4.73,4885069348.0,2980759016.0,-0.14,0.04,1.88,-5.13
1262,300113,顺网科技,13.17,-1.57,-0.21,154197.0,204742803.06,2.09,13.44,13.16,13.25,13.38,1.87,2.92,43.61,4.62,9143762951.0,6965891348.0,-0.08,-0.15,-14.26,-5.93
1263,300228,富瑞特装,8.15,-1.57,-0.13,128092.0,106497128.62,4.95,8.55,8.14,8.27,8.28,1.51,2.36,89.74,2.65,4689561744.0,4424620322.0,0.12,0.0,17.77,14.79
1264,300702,天宇股份,17.45,-1.58,-0.28,23729.0,41385528.0,2.88,17.81,17.3,17.63,17.73,2.87,1.12,66.2,1.72,6072201425.0,3684820228.0,-0.46,-0.57,-21.11,-19.62
